title,price,image_url
 Ritebrand Orange Flavoured Instant Jelly 80g, R6.49,https://www.shoprite.co.za/medias/10135778EAV2-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w0ODI3MXxpbWFnZS9wbmd8aW1hZ2VzL2g3Ny9oODYvOTA1NzAzMzkxMjM1MC5wbmd8NzljZDUyOGUzNTljZTgzNWZiOTk1MDA2Y2JjZWNjZTZmYTE3ZDUxYmE1NjdiNDM3ODkxNTZiZDY4MGM0YmEwMw
 Ritebrand Greengage Flavoured Instant Jelly 80g, R6.49,https://www.shoprite.co.za/medias/10141715EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w1NTU0OXxpbWFnZS9wbmd8aW1hZ2VzL2g5Zi9oOTMvODk5MjI1OTA4MDIyMi5wbmd8OWY1ZWNhNDRjNDA2ZWU1NDQ5NDUyZGJkYzU5NjU3Y2ZiY2ZkNmE4OTIyZjIxZjg2MjRlNmM1MzM2N2YwNjgwZA
 Ma Baker Chicken & Mushroom Pie 170g, R11.99,https://www.shoprite.co.za/medias/10640095EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w3NzI3MnxpbWFnZS9wbmd8aW1hZ2VzL2g0Mi9oNjQvOTE2OTczMjA0Mjc4Mi5wbmd8ODk1ZDZjMDVmNGY0MGUwODkwNGU2MzgxNjk4NDc3ZjRlNDMzNWQwMmVkYWNhZjk4MTU2M2I1NTE1MWExOWE1Yw
 Ma Baker Pepper Steak Pie 170g, R11.99,https://www.shoprite.co.za/medias/10640097EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w4MTU3OHxpbWFnZS9wbmd8aW1hZ2VzL2hjYi9oMDMvODk4NjI4MDg4NjMwMi5wbmd8ZDBjYjcyNzdkMWQ3MDc4NmI1OTI3YWMxNWYzM2ZiOGE2N2I5Njk3NGJmYjkyMzFkMTEzODAzMDAzNGRiMzVjZA
 Ma Baker Steak & Kidney Pie 170g, R11.99,https://www.shoprite.co.za/medias/10640099EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w3Nzg5NHxpbWFnZS9wbmd8aW1hZ2VzL2g5Zi9oYTIvODk4NjI4MjAwMDQxNC5wbmd8MzM1YmM3YzA3YjliYzI5NTU0NTg5NThmOWRmOWNkYjE2MDZkYWRkYjY5OTZiMGRlYzA4NGU0Mjc0OGQ4MTUzZA
" Crystal Valley Strawberry, Peach & Apricot & Mixed Berry Flavoured Smooth Low Fat Dairy Snack 6 x 75g", R11.99,https://www.shoprite.co.za/medias/10644904EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w2MzE1N3xpbWFnZS9wbmd8aW1hZ2VzL2g1Yy9oNzQvODk3Mjg3Mzc2MDc5OC5wbmd8MzJhMzkwMTNkOWEwOTkwN2JmMWM4OWRlZTNlYzU5NzZhNzMzOWM2OWI4MmFlNjQ3ZDkxY2Y2MjU2MzNmZmIyZA
" Crystal Valley Strawberry, Vanilla & Granadilla Flavoured Smooth Low Fat Dairy Snack 6 x 75g", R11.99,https://www.shoprite.co.za/medias/10644905EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w2MzE0MXxpbWFnZS9wbmd8aW1hZ2VzL2gwZC9oZDEvODk3Mjg3NDkwNzY3OC5wbmd8ZDZiZjZkZWJlNjMwNDgwZjYwYTAwMTM2ZDBkMTRiMDc4Yjg3ZGIxNTc5OGMyOTQwODBkZGJhNDMzNjI2ZjUwMQ
 Renew Dry & Damaged Hair Almond Oil & Shea Butter Conditioner 1L, R56.99,https://www.shoprite.co.za/medias/10542524EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wzOTQzMHxpbWFnZS9wbmd8aW1hZ2VzL2g5Zi9oZWIvODk0MzU1NDMzMDY1NC5wbmd8OTk5ZDE1N2YwMWM1MWY3ODM3Y2NhNDVhYjU1Njk1Y2RhMmQxNmMyODI2MmQyZTEwMDMzYTAyNWQ3ZTE5NDA0Zg
 Tasty Treats 6 Cracker Mix, R39.99,https://www.shoprite.co.za/medias/10600465EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxNDIzMjd8aW1hZ2UvcG5nfGltYWdlcy9oODUvaGE0Lzg5Mzk1MTM0NDY0MzAucG5nfDY4NDBlNjMwYTg5OTM4MDkxOTY2NWMwNTFiNjZiNDAxMjAwYzViZDllZTkwMDEwNTc5MmRiZmQ5YTU2NmRkODQ
 Renew Normal Hair Aloe Vera & Herbs Conditioner 1L, R56.99,https://www.shoprite.co.za/medias/10600821EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3w0NzQ5M3xpbWFnZS9wbmd8aW1hZ2VzL2gwYS9oODcvODk0MzU1MzU3Njk5MC5wbmd8OTIxZWExOWIxMzkyYWU5NWUwNDE5ZmM5ZTg2OTFhYjZmNjYxZGM1NGM3NTJmZjU4YjJmMTZhNjllOGZiMTM2OA
